Race Name,Rank,Race Date,Horse Name,Place
レパードステークス,GⅢ,2023-08-09,リバートゥルー,9
レパードステークス,GⅢ,2023-08-09,ソッコータルマカ,12
レパードステークス,GⅢ,2023-08-09,クレメダンジュ,8
レパードステークス,GⅢ,2023-08-09,マオノアラシ,5
レパードステークス,GⅢ,2023-08-09,ライオットガール,1
レパードステークス,GⅢ,2023-08-09,オメガギネス,2
レパードステークス,GⅢ,2023-08-09,ツウカイリアル,7
レパードステークス,GⅢ,2023-08-09,ベンダバリラビア,11
レパードステークス,GⅢ,2023-08-09,ミスティックロア,14
レパードステークス,GⅢ,2023-08-09,パクスオトマニカ,15
レパードステークス,GⅢ,2023-08-09,ルクスフロンティア,3
レパードステークス,GⅢ,2023-08-09,マテンロウガイ,6
レパードステークス,GⅢ,2023-08-09,エクロジャイト,4
レパードステークス,GⅢ,2023-08-09,クールミラボー,10
レパードステークス,GⅢ,2023-08-09,ハッスルダンク,13
札幌記念,GⅡ,2023-08-20,ソーヴァリアント,Not Found
札幌記念,GⅡ,2023-08-20,ウインマリリン,Not Found
札幌記念,GⅡ,2023-08-20,ウインマイティー,Not Found
札幌記念,GⅡ,2023-08-20,シャフリヤール,Not Found
札幌記念,GⅡ,2023-08-20,ジャックドール,Not Found
札幌記念,GⅡ,2023-08-20,ダノンベルーガ,Not Found
札幌記念,GⅡ,2023-08-20,ヤマニンサルバム,Not Found
札幌記念,GⅡ,2023-08-20,マテンロウレオ,Not Found
札幌記念,GⅡ,2023-08-20,アフリカンゴールド,Not Found
札幌記念,GⅡ,2023-08-20,トップナイフ,Not Found
札幌記念,GⅡ,2023-08-20,ラーグルフ,Not Found
札幌記念,GⅡ,2023-08-20,ヒシイグアス,Not Found
札幌記念,GⅡ,2023-08-20,プログノーシス,Not Found
札幌記念,GⅡ,2023-08-20,イズジョーノキセキ,Not Found
札幌記念,GⅡ,2023-08-20,ユニコーンライオン,Not Found
札幌記念,GⅡ,2023-08-20,"ソーヴァリアント
(5.2.1.5) 15024.2万
(有)社台レースホース
大竹 正博(美浦)
父：オルフェーヴル
母：ソーマジック
(母の父：シンボリクリスエス)",999
札幌記念,GⅡ,2023-08-20,"ウインマリリン
(6.2.1.9) 55263.65万
(株)ウイン
手塚 貴久(美浦)
父：スクリーンヒーロー
母：コスモチェーロ
(母の父：Fusaichi Pegasus)",999
札幌記念,GⅡ,2023-08-20,"ウインマイティー
(4.2.2.12) 14517万
(株)ウイン
西園 正都(栗東)
父：ゴールドシップ
母：アオバコリン
(母の父：カコイーシーズ)",999
札幌記念,GⅡ,2023-08-20,"シャフリヤール
(4.1.2.4) 97970.12万
(有)サンデーレーシング
藤原 英昭(栗東)
父：ディープインパクト
母：ドバイマジェスティ
(母の父：Essence of Dubai)",999
札幌記念,GⅡ,2023-08-20,"ジャックドール
(8.2.0.5) 49004.2万
前原 敏行
藤岡 健一(栗東)
父：モーリス
母：ラヴァリーノ
(母の父：Unbridled's Song)",999
札幌記念,GⅡ,2023-08-20,"ダノンベルーガ
(2.1.1.3) 32272.79万
(株)ダノックス
堀 宣行(美浦)
父：ハーツクライ
母：コーステッド
(母の父：Tizway)",999
